x,z,y
63.01,69.90,8.00
62.51,69.90,8.00
62.01,69.90,8.00
61.51,69.90,8.00
61.01,69.90,8.00
60.52,69.92,8.00
60.16,70.28,8.00
59.81,70.63,8.00
59.54,71.02,8.00
59.54,71.52,8.00
59.54,72.02,8.00
59.54,72.52,8.00
59.54,73.02,8.00
59.54,73.52,8.00
59.54,74.02,8.00
59.54,74.52,8.00
59.54,75.02,8.00
59.54,75.52,8.00
59.54,76.02,8.00
59.54,76.52,8.00
59.54,77.02,8.00
59.62,77.48,8.00
59.98,77.84,8.00
60.33,78.19,8.00
60.68,78.54,8.00
61.04,78.90,8.00
61.39,79.25,8.00
61.74,79.60,8.00
62.10,79.96,8.00
62.45,80.31,8.00
62.81,80.67,8.00
63.16,81.02,8.00
63.51,81.37,8.00
64.00,81.40,8.00
64.50,81.40,8.00
65.00,81.40,8.00
65.50,81.40,8.00
66.00,81.40,8.00
66.50,81.40,8.00
67.00,81.40,8.00
67.50,81.40,8.00
68.00,81.40,8.00
68.50,81.40,8.00
69.00,81.40,8.00
69.50,81.40,8.00
70.00,81.40,8.00
70.50,81.40,8.00
71.00,81.40,8.00
71.50,81.40,8.00
72.00,81.40,8.00
72.50,81.40,8.00
73.00,81.40,8.00
73.50,81.40,8.00
74.00,81.40,8.00
74.50,81.40,8.00
75.00,81.40,8.00
75.50,81.40,8.00
76.00,81.40,8.00
76.50,81.40,8.00
77.00,81.40,8.00
77.50,81.40,8.00
78.00,81.40,8.00
78.50,81.40,8.00
79.00,81.40,8.00
79.50,81.40,8.00
80.00,81.40,8.00
80.50,81.40,8.00
81.00,81.40,8.00
81.50,81.40,8.00
82.00,81.40,8.00
82.50,81.40,8.00
83.00,81.40,8.00
83.50,81.40,8.00
84.00,81.40,8.00
84.50,81.40,8.00
85.00,81.40,8.00
85.50,81.40,8.00
86.00,81.40,8.00
86.50,81.40,8.00
87.00,81.40,8.00
87.50,81.40,8.00
88.00,81.40,8.00
88.50,81.40,8.00
89.00,81.40,8.00
89.50,81.40,8.00
90.00,81.40,8.00
90.50,81.40,8.00
91.00,81.40,8.00
91.50,81.40,8.00
92.00,81.40,8.00
92.50,81.40,8.00
93.00,81.40,8.00
93.50,81.40,8.00
94.00,81.40,8.00
94.50,81.40,8.00
95.00,81.40,8.00
95.50,81.40,8.00
96.00,81.40,8.00
96.50,81.40,8.00
97.00,81.40,8.00
97.50,81.40,8.00
98.00,81.40,8.00
98.50,81.40,8.00
99.00,81.40,8.00
99.50,81.40,8.00
100.00,81.40,8.00
100.50,81.40,8.00
101.00,81.40,8.00
101.50,81.40,8.00
102.00,81.40,8.00
102.50,81.40,8.00
103.00,81.40,8.00
103.50,81.40,8.00
104.00,81.40,8.00
104.50,81.40,8.00
105.00,81.40,8.00
105.50,81.40,8.00
106.00,81.40,8.00
106.50,81.40,8.00
107.00,81.40,8.00
107.50,81.40,8.00
108.00,81.40,8.00
108.50,81.40,8.00
109.00,81.40,8.00
109.50,81.40,8.00
110.00,81.40,8.00
110.50,81.40,8.00
111.00,81.40,8.00
111.50,81.40,8.00
112.00,81.40,8.00
112.50,81.40,8.00
113.00,81.40,8.00
113.50,81.40,8.00
114.00,81.40,8.00
114.50,81.40,8.00
115.00,81.40,8.00
115.50,81.40,8.00
116.00,81.40,8.00
116.50,81.40,8.00
117.00,81.40,8.00
117.50,81.40,8.00
117.87,81.73,8.00
118.22,82.08,8.00
118.57,82.43,8.00
118.93,82.79,8.00
119.28,83.14,8.00
119.54,83.53,8.00
119.54,84.03,8.00
119.54,84.53,8.00
119.54,85.03,8.00
119.54,85.53,8.00
119.54,86.03,8.00
119.54,86.53,8.00
119.45,86.99,8.00
119.09,87.35,8.00
118.74,87.70,8.00
118.39,88.05,8.00
118.03,88.41,8.00
117.68,88.76,8.00
117.33,89.11,8.00
116.97,89.47,8.00
116.62,89.82,8.00
116.26,90.18,8.00
115.91,90.53,8.00
115.56,90.88,8.00
115.20,91.24,8.00
114.85,91.59,8.00
114.50,91.94,8.00
114.14,92.30,8.00
113.69,92.40,8.00
113.19,92.40,8.00
112.69,92.40,8.00
112.19,92.40,8.00
111.69,92.40,8.00
111.19,92.40,8.00
110.69,92.40,8.00
110.19,92.40,8.00
109.69,92.40,8.00
109.19,92.40,8.00
108.69,92.40,8.00
108.19,92.40,8.00
107.69,92.40,8.00
107.19,92.40,8.00
106.69,92.40,8.00
106.19,92.40,8.00
105.69,92.40,8.00
105.19,92.40,8.00
104.69,92.40,8.00
104.19,92.40,8.00
103.69,92.40,8.00
103.19,92.40,8.00
102.69,92.40,8.00
102.19,92.40,8.00
101.69,92.40,8.00
101.19,92.40,8.00
100.69,92.40,8.00
100.19,92.40,8.00
99.69,92.40,8.00
99.19,92.40,8.00
98.69,92.40,8.00
98.19,92.40,8.00
97.69,92.40,8.00
97.19,92.40,8.00
